turbine,controllertime,modifiedtime,turok,atpwrin,atpwrout,reactpwrin,reactpwrout
"BA6288BC-6093-405A-99C3-543A75029952","2024-02-15T23:40:00","2024-02-15T18:19:00",125905.9,2456.0,48671678.0,2001.0,4326.0
"75D7D6B7-63A2-41B2-9750-54AAD9C10BC9","2024-02-15T23:40:00","2024-02-15T18:20:00",129431.1,43349.0,38193445.0,543127.0,1209376.0
"C869F076-B670-41B9-91A6-580B03EEB207","2024-02-15T23:20:00","2024-02-15T18:20:00",138927.1,33751.0,17062893.0,318536.0,2682592.0
"C569A344-AAFF-48DF-ABCD-58E19023240A","2024-02-15T23:40:00","2024-02-15T18:24:00",78217.1,22341.0,12098683.0,250839.0,2059352.0
"AD71D274-113E-4288-99EE-592440F292B7","2024-02-15T23:40:00","2024-02-15T18:20:00",12180.8,7110.0,1172702.0,51537.0,73735.0
"15EBFAF4-74B8-43A2-AB6C-59C1CA7A2641","2024-02-15T23:40:00","2024-02-15T18:25:00",111010.9,20386.0,15051572.0,290129.0,2165798.0
"6584A4D2-9745-4DA2-8968-5A7A58E5261E","2024-02-15T23:40:00","2024-02-15T18:23:00",116526.0,30976.0,44603576.0,528436.0,1855398.0
"64EA7DDF-2089-48BF-89F9-5D5878C11F0A","2024-02-15T23:40:00","2024-02-15T18:25:00",1832.5,1869.0,102680.0,2702.0,5721.0
"C850986B-E1A8-478F-AB83-5F6AC9B4F3AE","2024-02-15T23:10:00","2024-02-15T18:19:00",139148.4,35761.0,16523534.0,367430.0,2454086.0
"6AB83CF3-FF76-45F2-B8FA-5FFBC3EF7486","2024-02-15T23:40:00","2024-02-15T18:20:00",119582.0,31544.0,40372047.0,1091377.0,881456.0
"659F9FDD-3065-4ED3-97B7-61816E008828","2024-02-15T23:40:00","2024-02-15T18:18:00",93283.7,40027.0,25124850.0,800656.0,609458.0
"81CE857F-5CB1-4FF1-9B01-63A16E2A00F8","2024-02-15T23:40:00","2024-02-15T18:18:00",123496.1,16049.0,53429644.0,1199179.0,2016177.0
"4A53E949-7451-42CA-9F5E-63C254D2BF73","2024-02-15T23:40:00","2024-02-15T18:19:00",96554.4,24915.0,31546654.0,1061194.0,1026162.0
"7F00C3C2-D38B-47D9-AAFB-64080C48E92B","2024-02-15T23:50:00","2024-02-15T18:24:00",99487.1,11536.0,19798399.0,466593.0,1197098.0
"A719EDD6-49F4-43E8-A4B7-67658BCE8DBE","2024-02-15T23:40:00","2024-02-15T18:20:00",130375.0,46847.0,38792182.0,1043272.0,978381.0
"DC828822-3999-40AA-A165-67A2B670A236","2024-02-15T23:30:00","2024-02-15T18:18:00",79013.6,61720.0,22316181.0,523339.0,561275.0
